,trade_id,delivery_start,delivery_end,execution_time,price,quantity
223364,1673290439,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T03:27:11,-2.88,5.0
223368,1673291595,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T03:30:43,-6.9,5.0
223369,1673291755,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T03:31:12,-5.92,20.0
223370,1673291773,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T03:31:16,-6.04,16.2
223379,1673292123,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T03:32:00,-7.4,1.3
223380,1673292124,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T03:32:00,-7.4,1.3
223381,1673292126,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T03:32:00,-8.32,5.0
223382,1673292125,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T03:32:00,-8.2,1.0
223383,1673292127,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T03:32:00,-8.32,5.0
223384,1673292128,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T03:32:00,-8.32,5.0
223385,1673292129,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T03:32:00,-8.32,5.0
223386,1673292130,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T03:32:00,-8.32,5.0
223387,1673292131,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T03:32:00,-8.32,5.0
223388,1673292132,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T03:32:00,-8.32,5.0
223389,1673292133,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T03:32:00,-8.32,5.0
223390,1673292134,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T03:32:00,-8.32,5.0
223391,1673292135,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T03:32:00,-8.32,1.4
223451,1673294222,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T03:36:51,-7.77,0.1
223453,1673296563,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T03:42:11,-7.92,5.0
223454,1673296765,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T03:42:55,-8.0,1.0
223460,1673303816,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T03:57:11,-5.32,4.1
223750,1673339907,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T05:04:43,-9.76,4.5
223751,1673339908,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T05:04:43,-9.76,0.5
223752,1673339906,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T05:04:43,-8.1,0.5
223753,1673340178,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T05:05:13,-11.09,0.1
223884,1673370623,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T06:00:16,-7.74,0.1
223889,1673370873,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T06:00:23,-7.53,1.9
223891,1673372689,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T06:03:28,-7.5,0.1
223904,1673374247,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T06:06:34,-7.5,0.9
223910,1673378363,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T06:14:47,-7.74,3.6
223912,1673380633,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T06:19:21,-8.0,5.0
223913,1673380634,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T06:19:21,-8.0,0.5
223914,1673380636,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T06:19:21,-8.0,0.5
223915,1673380635,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T06:19:21,-8.0,4.5
223916,1673380638,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T06:19:21,-8.39,1.0
223917,1673380637,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T06:19:21,-8.0,0.2
223918,1673380641,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T06:19:21,-8.74,1.2
